winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
1,2014/15,New Zealand,Sri Lanka,31,0,4,0,0,48.4375,63.33333333333333,0,0,656399
1,2014/15,Australia,England,16,0,0,2,2,51.61290322580645,59.375,0,0,656401
1,2014/15,South Africa,Zimbabwe,-28,1,-5,2,1,77.41935483870968,59.375,0,0,656403
1,2014/15,India,Pakistan,-4,0,0,1,1,60.65573770491803,61.19402985074627,1,1,656405
1,2014/15,Ireland,West Indies,-21,2,-1,2,0,67.74193548387096,58.06451612903226,1,0,656407
1,2014/15,New Zealand,Scotland,-44,2,-9,4,2,80.64516129032258,55.55555555555556,1,0,656409
0,2014/15,United Arab Emirates,Zimbabwe,-21,1,-5,1,0,69.84126984126983,59.375,0,0,656413
1,2014/15,New Zealand,England,-73,0,-15,2,2,57.8125,46.03174603174603,0,1,656415
0,2014/15,Pakistan,West Indies,21,-2,4,2,4,65.0,75.80645161290323,1,0,656417
1,2014/15,India,South Africa,-2,0,3,1,1,71.66666666666667,63.49206349206349,1,1,656423
1,2014/15,England,Scotland,11,-1,-1,0,1,56.060606060606055,66.66666666666666,0,0,656425
1,2014/15,West Indies,Zimbabwe,-11,-2,1,1,3,65.0,52.38095238095239,1,1,656427
1,2014/15,Ireland,United Arab Emirates,9,-1,2,0,1,62.903225806451616,68.33333333333333,1,0,656429
0,2014/15,Bangladesh,Sri Lanka,-9,-3,-4,0,3,56.060606060606055,57.377049180327866,0,1,656433
1,2014/15,South Africa,West Indies,-17,-1,-3,1,2,74.19354838709677,60.317460317460316,1,1,656435
1,2014/15,New Zealand,Australia,-13,-3,-6,1,4,49.2063492063492,54.6875,0,1,656437
1,2014/15,India,United Arab Emirates,-24,1,-9,2,1,69.23076923076923,73.33333333333333,0,1,656439
0,2014/15,England,Sri Lanka,7,1,3,1,0,63.49206349206349,61.66666666666667,1,1,656441
1,2014/15,Pakistan,Zimbabwe,-14,0,-2,2,2,82.53968253968253,77.04918032786885,1,1,656443
0,2014/15,Ireland,South Africa,10,-3,0,1,4,53.73134328358209,66.66666666666666,0,1,656445
1,2014/15,Pakistan,United Arab Emirates,16,-2,3,1,3,66.66666666666666,75.0,0,0,656447
1,2014/15,Bangladesh,Scotland,-23,1,-4,2,1,65.0,58.730158730158735,1,0,656451
1,2014/15,India,West Indies,-3,2,-1,4,2,70.3125,62.903225806451616,0,1,656453
1,2014/15,Pakistan,South Africa,-32,-1,-8,1,2,74.19354838709677,62.903225806451616,0,0,656455
1,2014/15,Ireland,Zimbabwe,0,-1,-1,1,2,66.12903225806451,72.58064516129032,0,0,656457
1,2014/15,Australia,Sri Lanka,-20,1,-3,2,1,68.85245901639344,47.540983606557376,1,1,656461
1,2014/15,Bangladesh,England,-18,1,-5,2,1,70.96774193548387,66.66666666666666,0,0,656463
1,2014/15,India,Ireland,-13,0,-2,0,0,59.375,56.92307692307692,0,1,656465
0,2014/15,Scotland,Sri Lanka,11,-1,3,1,2,63.33333333333333,66.66666666666666,0,1,656467
1,2014/15,South Africa,United Arab Emirates,19,0,5,1,1,59.375,67.74193548387096,0,0,656469
1,2014/15,New Zealand,Bangladesh,-28,0,-3,2,2,77.04918032786885,58.333333333333336,1,0,656471
1,2014/15,India,Zimbabwe,-8,0,-3,2,2,75.80645161290323,71.875,1,0,656475
1,2014/15,Australia,Scotland,-14,2,-3,3,1,68.85245901639344,62.295081967213115,1,0,656477
0,2014/15,United Arab Emirates,West Indies,-38,3,-9,5,2,67.6923076923077,62.295081967213115,0,0,656479
0,2014/15,Ireland,Pakistan,-18,1,-1,1,0,66.12903225806451,50.0,1,1,656481
1,2014/15,South Africa,Sri Lanka,-26,1,-2,2,1,73.01587301587301,56.25,0,1,656483
0,2014/15,Bangladesh,India,7,-2,1,0,2,60.0,67.1875,0,1,656485
1,2014/15,Australia,Pakistan,-19,0,-3,2,2,66.66666666666666,60.65573770491803,0,1,656487
1,2014/15,New Zealand,West Indies,-17,-3,-1,1,4,56.666666666666664,56.451612903225815,1,1,656489
1,2014/15,New Zealand,South Africa,-49,0,-10,2,2,68.85245901639344,53.2258064516129,0,1,656491
1,2014/15,Australia,India,1,1,1,1,0,58.06451612903226,59.01639344262295,1,1,656493
1,2014/15,Australia,New Zealand,-25,0,-4,1,1,75.80645161290323,59.01639344262295,0,1,656495
1,2014/15,South Africa,West Indies,-8,0,1,2,2,58.730158730158735,50.0,1,1,722339
1,2014/15,South Africa,West Indies,-12,-2,-3,0,2,55.73770491803278,55.223880597014926,0,0,722341
1,2014/15,South Africa,West Indies,-1,2,1,3,1,77.04918032786885,65.0,0,1,722343
0,2014/15,South Africa,West Indies,23,1,4,3,2,74.60317460317461,78.68852459016394,0,0,722345
1,2014/15,South Africa,West Indies,-9,1,-2,2,1,60.9375,49.2063492063492,0,0,722347
1,2015,England,New Zealand,-2,0,-3,2,2,50.0,55.00000000000001,0,0,743943
0,2015,England,New Zealand,12,1,1,1,0,47.61904761904761,62.295081967213115,0,1,743945
0,2015,England,New Zealand,-23,0,-3,2,2,64.51612903225806,50.81967213114754,1,1,743947
1,2015,England,New Zealand,-33,0,-6,0,0,53.96825396825397,47.540983606557376,0,1,743949
1,2015,England,New Zealand,7,-4,2,1,5,59.01639344262295,53.2258064516129,1,0,743951
0,2015,Ireland,Australia,28,-2,7,0,2,44.26229508196721,53.2258064516129,0,1,743973
0,2015,England,Australia,-7,0,-6,0,0,62.903225806451616,65.0,0,1,743977
0,2015,England,Australia,-11,1,-3,2,1,66.12903225806451,66.66666666666666,1,0,743979
